date,Mkt-RF,SMB,HML,RF
1-Feb,-10.05,-0.79,12.48,0.38
1-Mar,-7.26,0.24,6.42,0.42
1-Apr,7.94,0.55,-4.68,0.39
1-May,0.72,2.49,3.38,0.32
1-Jun,-1.94,6.24,-1.13,0.28
1-Jul,-2.13,-4.19,5.21,0.3
1-Aug,-6.46,2.48,2.3,0.31
1-Sep,-9.25,-6.23,1.45,0.28
1-Oct,2.46,7.49,-7.66,0.22
1-Nov,7.54,-0.47,2.22,0.17
1-Dec,1.6,4.73,0.85,0.15
2-Jan,-1.44,1.19,3.44,0.14
2-Feb,-2.29,-1,2.16,0.13
2-Mar,4.24,4.21,1.06,0.13
2-Apr,-5.2,5.96,3.88,0.15
2-May,-1.38,-3.21,1.53,0.14
2-Jun,-7.21,4.29,-0.03,0.13
2-Jul,-8.18,-5.28,-3.85,0.15
2-Aug,0.5,-2.86,3.29,0.14
2-Sep,-10.35,2.4,1.47,0.14
2-Oct,7.84,-3.4,-3.94,0.14
2-Nov,5.96,3.19,-1.21,0.12
2-Dec,-5.76,0.09,2.14,0.11
3-Jan,-2.57,1.35,-0.81,0.1
3-Feb,-1.88,-0.45,-1.38,0.09
3-Mar,1.09,1.03,-1.91,0.1
3-Apr,8.22,0.66,1.17,0.1
3-May,6.05,4.74,0.5,0.09
3-Jun,1.42,1.77,0.15,0.1
3-Jul,2.35,5.05,-1.24,0.07
3-Aug,2.34,2.59,1.54,0.07
3-Sep,-1.24,0.8,0.15,0.08
3-Oct,6.08,2.69,1.97,0.07
3-Nov,1.35,2.07,1.78,0.07
3-Dec,4.29,-2.68,1.61,0.08
4-Jan,2.15,2.55,2.48,0.07
4-Feb,1.4,-1.58,0.91,0.06
4-Mar,-1.32,1.72,0.28,0.09
4-Apr,-1.83,-1.68,-3.09,0.08
4-May,1.17,-0.2,-0.24,0.06
4-Jun,1.86,2.26,1.19,0.08
4-Jul,-4.06,-3.81,3.23,0.1
4-Aug,0.08,-1.49,1,0.11
4-Sep,1.6,3.02,-0.01,0.11
4-Oct,1.43,0.15,-0.22,0.11
4-Nov,4.54,3.74,1.42,0.15
4-Dec,3.43,-0.03,-0.22,0.16
5-Jan,-2.76,-1.72,2.06,0.16
5-Feb,1.89,-0.57,1.53,0.16
5-Mar,-1.97,-1.4,2.04,0.21
5-Apr,-2.61,-3.93,0.06,0.21
5-May,3.65,2.89,-0.64,0.24
5-Jun,0.57,2.59,2.82,0.23
5-Jul,3.92,2.9,-0.78,0.24
5-Aug,-1.22,-0.98,1.32,0.3
5-Sep,0.49,-0.66,0.72,0.29
5-Oct,-2.02,-1.25,0.43,0.27
5-Nov,3.61,1,-1.18,0.31
5-Dec,-0.25,-0.42,0.2,0.32
6-Jan,3.04,5.39,1.08,0.35
6-Feb,-0.3,-0.38,-0.35,0.34
6-Mar,1.46,3.45,0.59,0.37
6-Apr,0.73,-1.42,2.34,0.36
6-May,-3.57,-2.96,2.42,0.43
6-Jun,-0.35,-0.39,0.85,0.4
6-Jul,-0.78,-3.98,2.62,0.4
6-Aug,2.03,1.03,-2.06,0.42
6-Sep,1.84,-1.36,0.08,0.41
6-Oct,3.23,1.75,-0.3,0.41
6-Nov,1.71,0.7,0.14,0.42
6-Dec,0.87,-1.15,2.73,0.4
7-Jan,1.4,0.13,-0.69,0.44
7-Feb,-1.96,1.18,-0.13,0.38
7-Mar,0.68,0.16,-0.96,0.43
7-Apr,3.49,-2.15,-1.46,0.44
7-May,3.24,0.24,-0.65,0.41
7-Jun,-1.96,0.76,-1.07,0.4
7-Jul,-3.73,-2.6,-3.72,0.4
7-Aug,0.92,-0.13,-1.86,0.42
7-Sep,3.22,-2.22,-2.23,0.32
7-Oct,1.8,0.13,-3.05,0.32
7-Nov,-4.83,-2.92,-0.95,0.34
7-Dec,-0.87,0.12,-0.54,0.27
8-Jan,-6.36,-1.04,3.98,0.21
8-Feb,-3.09,-0.43,-0.84,0.13
8-Mar,-0.93,0.71,0.3,0.17
8-Apr,4.6,-1.65,-1.04,0.18
8-May,1.86,3,-1.49,0.18
8-Jun,-8.44,1.2,-2.67,0.17
8-Jul,-0.77,2.61,5.42,0.15
8-Aug,1.53,3.6,1.59,0.13
8-Sep,-9.24,-1.23,5.92,0.15
8-Oct,-17.23,-2.6,-2.3,0.08
8-Nov,-7.86,-2.85,-6.31,0.03
8-Dec,1.74,3.46,0.15,0
9-Jan,-8.12,0.08,-11.29,0
9-Feb,-10.1,0.05,-6.95,0.01
9-Mar,8.95,0.04,3.48,0.02
9-Apr,10.18,5.39,5.36,0.01
9-May,5.21,-2.52,0.27,0
9-Jun,0.43,2.63,-2.73,0.01
9-Jul,7.72,1.87,4.84,0.01
9-Aug,3.33,-1.08,7.63,0.01
9-Sep,4.08,2.43,1.04,0.01
9-Oct,-2.59,-4.34,-4.2,0
9-Nov,5.56,-2.39,-0.34,0
9-Dec,2.75,6.04,-0.17,0.01
10-Jan,-3.36,0.4,0.43,0
10-Feb,3.4,1.19,3.23,0
10-Mar,6.31,1.48,2.21,0.01
10-Apr,2,4.87,2.89,0.01
10-May,-7.89,0.09,-2.44,0.01
10-Jun,-5.57,-1.82,-4.7,0.01
10-Jul,6.93,0.22,-0.33,0.01
10-Aug,-4.77,-2.98,-1.93,0.01
10-Sep,9.54,3.97,-3.18,0.01
10-Oct,3.88,1.19,-2.51,0.01
10-Nov,0.6,3.74,-0.92,0.01
10-Dec,6.82,0.69,3.76,0.01
11-Jan,1.99,-2.45,0.75,0.01
11-Feb,3.49,1.53,1.27,0.01
11-Mar,0.46,2.56,-1.85,0.01
11-Apr,2.9,-0.33,-2.49,0
11-May,-1.27,-0.67,-2,0
11-Jun,-1.75,-0.15,-0.39,0
11-Jul,-2.35,-1.27,-0.9,0
11-Aug,-5.99,-3.05,-2.36,0.01
11-Sep,-7.59,-3.31,-1.72,0
11-Oct,11.35,3.28,0.1,0
11-Nov,-0.28,-0.16,-0.45,0
11-Dec,0.74,-0.59,1.63,0
12-Jan,5.05,2.03,-0.97,0
12-Feb,4.42,-1.85,0.43,0
12-Mar,3.11,-0.65,1.14,0
12-Apr,-0.85,-0.41,-0.78,0
12-May,-6.19,0.07,-1.06,0.01
12-Jun,3.89,0.67,0.62,0
12-Jul,0.79,-2.77,-0.02,0
12-Aug,2.55,0.48,1.3,0.01
12-Sep,2.73,0.51,1.6,0.01
12-Oct,-1.76,-1.16,3.59,0.01
12-Nov,0.78,0.64,-0.84,0.01
12-Dec,1.18,1.5,3.51,0.01
13-Jan,5.57,0.33,0.96,0
13-Feb,1.29,-0.28,0.11,0
13-Mar,4.03,0.81,-0.19,0
13-Apr,1.55,-2.36,0.45,0
13-May,2.8,1.73,2.63,0
13-Jun,-1.2,1.33,0.03,0
13-Jul,5.65,1.86,0.57,0
13-Aug,-2.71,0.28,-2.69,0
13-Sep,3.77,2.91,-1.22,0
13-Oct,4.18,-1.56,1.25,0
13-Nov,3.13,1.29,0.32,0
13-Dec,2.81,-0.45,-0.02,0
14-Jan,-3.32,0.9,-2.07,0
14-Feb,4.65,0.37,-0.31,0
14-Mar,0.43,-1.85,4.93,0
14-Apr,-0.19,-4.2,1.17,0
14-May,2.06,-1.88,-0.13,0
14-Jun,2.61,3.08,-0.7,0
14-Jul,-2.04,-4.29,0.03,0
14-Aug,4.24,0.4,-0.45,0
14-Sep,-1.97,-3.72,-1.34,0
14-Oct,2.52,4.2,-1.81,0
14-Nov,2.55,-2.06,-3.09,0
14-Dec,-0.06,2.49,2.27,0
15-Jan,-3.11,-0.55,-3.58,0
15-Feb,6.13,0.61,-1.86,0
15-Mar,-1.12,3.04,-0.37,0
15-Apr,0.59,-3.03,1.82,0
15-May,1.36,0.92,-1.14,0
15-Jun,-1.53,2.9,-0.79,0
15-Jul,1.54,-4.19,-4.13,0
15-Aug,-6.04,0.33,2.77,0
15-Sep,-3.07,-2.63,0.56,0
15-Oct,7.75,-1.87,-0.46,0
15-Nov,0.56,3.59,-0.42,0
15-Dec,-2.17,-2.82,-2.61,0.01
16-Jan,-5.77,-3.43,2.09,0.01
16-Feb,-0.07,0.71,-0.57,0.02
16-Mar,6.96,0.82,1.19,0.02
16-Apr,0.91,0.74,3.28,0.01
16-May,1.78,-0.18,-1.66,0.01
16-Jun,-0.05,0.6,-1.48,0.02
16-Jul,3.95,2.51,-1.27,0.02
16-Aug,0.49,1.18,3.13,0.02
16-Sep,0.25,2.13,-1.23,0.02
16-Oct,-2.02,-4.42,4.12,0.02
16-Nov,4.86,5.67,8.19,0.01
16-Dec,1.81,0.08,3.56,0.03
17-Jan,1.94,-1.14,-2.76,0.04
17-Feb,3.57,-2.02,-1.68,0.04
17-Mar,0.17,1.14,-3.32,0.03
17-Apr,1.09,0.72,-2.1,0.05
17-May,1.06,-2.52,-3.78,0.06
17-Jun,0.78,2.23,1.48,0.06
17-Jul,1.87,-1.46,-0.24,0.07
17-Aug,0.16,-1.67,-2.09,0.09
17-Sep,2.51,4.46,3.12,0.09
17-Oct,2.25,-1.93,0.21,0.09
17-Nov,3.12,-0.58,-0.08,0.08
17-Dec,1.06,-1.32,0.05,0.09
18-Jan,5.57,-3.15,-1.33,0.12
18-Feb,-3.65,0.23,-1.07,0.11
18-Mar,-2.35,4.05,-0.23,0.11
18-Apr,0.28,1.14,0.54,0.14
18-May,2.65,5.26,-3.18,0.14
18-Jun,0.48,1.15,-2.33,0.14
18-Jul,3.19,-2.22,0.47,0.16
18-Aug,3.44,1.12,-3.99,0.16
18-Sep,0.06,-2.28,-1.69,0.15
18-Oct,-7.68,-4.77,3.44,0.19
18-Nov,1.69,-0.68,0.27,0.18
18-Dec,-9.57,-2.38,-1.86,0.2
19-Jan,8.4,2.9,-0.45,0.21
19-Feb,3.4,2.05,-2.68,0.18
19-Mar,1.1,-3.03,-4.1,0.19
19-Apr,3.97,-1.74,2.14,0.21
19-May,-6.94,-1.31,-2.34,0.21
19-Jun,6.93,0.28,-0.72,0.18
19-Jul,1.19,-1.93,0.47,0.19
19-Aug,-2.58,-2.36,-4.76,0.16
19-Sep,1.43,-0.97,6.74,0.18
19-Oct,2.06,0.29,-1.92,0.16
19-Nov,3.87,0.78,-2.01,0.12
19-Dec,2.77,0.73,1.76,0.14
20-Jan,-0.11,-3.1,-6.22,0.13
20-Feb,-8.13,1.07,-3.79,0.12
20-Mar,-13.39,-4.88,-13.97,0.13
20-Apr,13.65,2.49,-1.23,0
20-May,5.58,2.48,-4.89,0.01
20-Jun,2.46,2.7,-2.17,0.01
20-Jul,5.77,-2.32,-1.38,0.01
20-Aug,7.63,-0.22,-2.95,0.01
20-Sep,-3.63,0.04,-2.68,0.01
20-Oct,-2.1,4.36,4.21,0.01
20-Nov,12.47,5.82,2.14,0.01
20-Dec,4.63,4.89,-1.51,0.01
21-Jan,-0.03,7.34,2.96,0.01
21-Feb,2.78,2.06,7.18,0
21-Mar,3.08,-2.37,7.4,0
21-Apr,4.93,-3.19,-0.94,0
21-May,0.29,-0.25,7.08,0
21-Jun,2.75,1.7,-7.82,0
21-Jul,1.27,-3.99,-1.76,0
21-Aug,2.91,-0.43,-0.16,0
21-Sep,-4.37,0.72,5.08,0
21-Oct,6.65,-2.35,-0.48,0
21-Nov,-1.55,-1.32,-0.44,0
21-Dec,3.1,-1.66,3.28,0.01
22-Jan,-6.25,-5.94,12.75,0
22-Feb,-2.29,2.23,3.04,0
22-Mar,3.05,-1.6,-1.8,0.01
22-Apr,-9.46,-1.41,6.19,0.01
22-May,-0.34,-1.85,8.41,0.03
22-Jun,-8.43,2.09,-5.97,0.06
22-Jul,9.56,2.78,-4.08,0.08
